"id","condition","age","gender","country","feel_before","feel_after","trust_in_donation","notice","alone","comp_or_phone","willingness","amount_r","amount_n","willingness_n","eyes_n","emotion_n","alone_n","size_n","notice_n"
114,"Neutral",20,"Male","Denmark",5,5,1,"Yes","I'm alone","Phone","No","donate 30-50 DKK",3,0,1,0,1,1,1
115,"Neutral",28,"Male","Denmark",5,6,3,"Yes","less than 5","Phone","No","donate less than 10 DKK",1,0,1,0,0,1,1
116,"Neutral",18,"Female","Denmark",3,5,1,"Yes","I'm alone","Phone","No","donate 10-30 DKK",2,0,1,0,1,1,1
117,"Neutral",22,"Female","Denmark",3,3,7,"Yes","I'm alone","Phone","Yes","donate 30-50 DKK",3,1,1,0,1,1,1
118,"Neutral",22,"Male","Denmark",7,7,1,"Yes","I'm alone","Phone","No","donate less than 10 DKK",1,0,1,0,1,1,1
119,"Neutral",17,"Female","Denmark",4,6,4,"No","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,0,1,1,0
120,"Neutral",27,"Female","Denmark",4,4,3,"Yes","less than 5","Phone","No","donate 100 DKK (donate all the money)",6,0,1,0,0,1,1
121,"Neutral",26,"Female","Denmark",7,7,8,"Yes","more than 5","Phone","No","donate 10-30 DKK",2,0,1,0,0,1,1
122,"Neutral",21,"Female","Hungary",9,9,5,"Yes","I'm alone","Phone","Yes","donate 2000-2800 HUF",4,1,1,0,1,1,1
123,"Neutral",35,"Male","Denmark",7,6,6,"No","I'm alone","Computer","Yes","donate 30-50 DKK",3,1,1,0,1,0,0
124,"Neutral",38,"Female","Denmark",1,3,5,"No","I'm alone","Phone","Yes","donate 50-70 DKK",4,1,1,0,1,1,0
125,"Neutral",26,"Male","Denmark",6,6,4,"No","less than 5","Computer","Yes","donate 10-30 DKK",2,1,1,0,0,0,0
126,"Neutral",25,"Female","Denmark",8,8,6,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,0,1,1,1
127,"Neutral",24,"Female","Denmark",7,8,8,"Yes","more than 5","Phone","Yes","donate 30-50 DKK",3,1,1,0,0,1,1
